title,avg_rating,voted_by,genre
Templo de Changu Narayan,4.5,58,Points of Interest & Landmarks • Religious Sites
Sauraha Art Gallery,4.5,8,Art Galleries
Mardi Himal,5.0,11,Geologic Formations
Pindeshwor Temple,4.5,2,Points of Interest & Landmarks
Siddha Baba Temple,4.0,3,Religious Sites
Taleju Bell,4.0,23,Historic Sites • Points of Interest & Landmarks
Ranighat Palace,4.5,45,Religious Sites
Lumbini Monastic Site,4.5,209,Points of Interest & Landmarks • Religious Sites
Valle del Naar,4.5,6,Geologic Formations
Mt Taboche,4.5,8,Mountains
White Monastery,4.0,92,Points of Interest & Landmarks
Taudaha Lake,4.0,34,Bodies of Water
Shechen Monastery,4.5,11,Religious Sites
55 Window Palace,4.5,189,Historic Sites
Elephant Breeding Centre,3.0,677,Nature & Wildlife Areas
The National Museum,4.0,90,Art Museums • History Museums
Aircrafts Museum,4.0,4,Speciality Museums
Nagarjun Forest Reserve,4.0,39,Nature & Wildlife Areas • Forests
Indreshwar Mahadev Temple,4.5,23,Religious Sites
Degu Taleju Temple,4.0,91,Religious Sites
Dattatreya Temple,4.5,139,Religious Sites
Rato Machhendranath Temple,4.0,15,Religious Sites
Shiv Jatta,4.5,2,Religious Sites
Cathedral of the Assumption of the Blessed Virgin Mary,5.0,12,Religious Sites • Churches & Cathedrals
Image Ark,4.5,5,Points of Interest & Landmarks
Seto Machindranath Temple,4.5,59,Religious Sites
Panchakanya Temple,4.5,2,Points of Interest & Landmarks
Nagi Gompa,4.5,15,Religious Sites
Ambulapcha-La,4.5,3,Hiking Trails
Datankali Temple,4.5,6,Points of Interest & Landmarks
Halesi Mahadev Temple,4.5,5,Historic Sites • Points of Interest & Landmarks
Casino Royale,3.5,51,Casinos
Taumadhi Square,4.5,241,Points of Interest & Landmarks
Freak Street (Jhhonchen Tole),3.0,171,Points of Interest & Landmarks
ISKCON,4.5,3,Religious Sites
Aarya Ghat,4.0,18,Points of Interest & Landmarks
Eternal Peace Flame,4.0,61,Points of Interest & Landmarks
Tengboche Gompa,4.5,93,Religious Sites
Bhat-Bhateni Supermarket and Departmental Store,3.5,7,Shopping Malls
Basantpur Dabali,4.0,14,Points of Interest & Landmarks • Architectural Buildings
Banepa Chnadeshwori Temple,5.0,2,Religious Sites
Taragaon Museum,4.5,10,History Museums
Boudha Farmers Market at Utpala Cafe,5.0,15,Farmers Markets
Shukla Phanta National Park,4.0,11,National Parks • Nature & Wildlife Areas
Chhango Adventure Canyoning In Nepal,5.0,20,Sports Camps & Clinics
Jumla,4.5,3,Nan
Kwa Bahal,5.0,3,Religious Sites
Kalika Bhagwati Temple,4.5,4,Religious Sites
Boudha Stupa Thanka Center,4.0,11,Art Galleries
Jagan Narayan Temple,3.5,21,Religious Sites
Kaiser Library,4.0,40,Libraries
Royal Thai Monastery,4.5,57,Religious Sites
The Natural History Museum,4.0,20,Natural History Museums
Ganesh Mandir,3.5,7,Architectural Buildings • Religious Sites
Manjushree Park,3.0,1,Parks
Dharapani Temple,4.0,1,Religious Sites
Guhyeshwari Temple,4.0,22,Religious Sites
Manakamana Mandir Temple,4.0,21,Points of Interest & Landmarks • Architectural Buildings
Kag Chode Thupten Samphel Ling Monastery,4.5,11,Universities & Schools • Religious Sites
Shey Phoksundo National Park,5.0,5,National Parks
Maula Kalika,4.5,2,Religious Sites
Ghadiarwa Pokhari,4.5,10,Points of Interest & Landmarks
Durbar Marg Street,3.5,39,Points of Interest & Landmarks
Bara Gaon,4.0,2,Neighborhoods • Hiking Trails
Gumba Danda,5.0,2,Historic Walking Areas
Tea Garden,5.0,1,Nature & Wildlife Areas • Scenic Walking Areas
Tribhuvan Park,4.0,13,Parks
Shiva Parvati Temple,4.0,19,Points of Interest & Landmarks • Religious Sites
Thubchen Gompa,4.5,17,Religious Sites
Hari Shanker Temple,3.5,18,Religious Sites
Bulbule Lake,4.0,4,Bodies of Water
Ambikeshwori Temple,4.0,1,Religious Sites
Manakamana Mandir,4.5,2,Religious Sites
Santaneshwar Mahadev Temple,4.0,1,Points of Interest & Landmarks • Religious Sites
Bishal Bazaar,3.5,46,Shopping Malls
Pottery Square,4.0,356,Neighborhoods • Points of Interest & Landmarks
Marpha Monastery,4.5,7,Religious Sites
Khaptad National Park,5.0,8,National Parks
Crocodile Breeding Centre,4.0,4,Nature & Wildlife Areas
Dhaulagiri of Nepal,5.0,12,Mountains
Ram Sita Vivah Mandap,4.5,2,Religious Sites
Myanmar Golden Monastery,4.5,54,Religious Sites
Changu Museum,4.0,1,History Museums
Ram Mandir,4.0,18,Religious Sites
Degutalle Mandir Temple,3.5,10,Points of Interest & Landmarks • Historic Walking Areas
Annapurna Temple,4.0,18,Religious Sites
Maru Ganesh Shrine,4.0,23,Religious Sites
Temples of Machchhendra Nath and Min Nath,4.0,7,Religious Sites
Dae Sung Shakya (Korean Temple),4.0,45,Religious Sites
Ratna Park,2.5,16,Parks
Vijayapur Hill,4.5,3,Points of Interest & Landmarks
Banke National Park,4.0,1,National Parks
Char Narayan Temple,2.5,11,Historic Sites • Religious Sites
Thahiti Chowk,3.5,18,Points of Interest & Landmarks • Monuments & Statues
Temple and Statue of King Narasimha,3.5,6,Religious Sites • Monuments & Statues
Nara Devi Temple,4.5,11,Points of Interest & Landmarks • Architectural Buildings
Bhinchhebahal,4.5,4,Points of Interest & Landmarks
Kathmandu Contemporary Arts Centre,5.0,3,Art Museums
Military Museum,3.5,8,Military Museums • History Museums
Shanti Spa,5.0,15,Sports Camps & Clinics
Kudan Stupa,4.5,22,Ancient Ruins • Religious Sites
Narasingha Mandir Temple,3.0,10,Historic Sites • Points of Interest & Landmarks
Nagarkot View Tower,4.0,77,Points of Interest & Landmarks • Lookouts
Gokarneshwor Mahadev Temple,4.5,9,Architectural Buildings • Religious Sites
Gorakha Nath Temple Gorkha,4.5,46,Speciality Museums
Rolwaling Valley,5.0,5,Valleys
Makhan Tole,4.0,10,Points of Interest & Landmarks
Kakre Bihar Temple,4.5,2,Religious Sites
Shashwat Dham,3.5,6,Points of Interest & Landmarks • Architectural Buildings
Vaisha Dev (Toothache Tree),4.0,28,Religious Sites
Chilancho Bahal,4.5,16,Historic Sites • Ancient Ruins
Gallery Mcube,N,0,Art Galleries
Music Museum of Nepal,5.0,7,Art Museums • History Museums
Kathmandu Fun Park,4.0,4,Amusement & Theme Parks
Destination Agro Farm Pvt Ltd,5.0,4,Farms
Tharu Cultural Museum and Research Cente,4.5,2,History Museums
Bhimsen Tower,3.5,83,Points of Interest & Landmarks
Tridevi Temple,4.0,17,Architectural Buildings • Religious Sites
himalayan arts gallery pltd,4.5,4,Art Galleries
Guru Lhakhang Monastery,4.0,5,Religious Sites
Jyapu Museum,3.0,1,History Museums
Rani Pokhari (Queen's Pond),3.5,41,Points of Interest & Landmarks • Scenic Walking Areas
Peace Pagoda,4.5,27,Monuments & Statues
Taleju Temple,4.0,94,Religious Sites
Cambodia Lumbini Buddhist Temple,4.0,2,Points of Interest & Landmarks • Religious Sites
Woodcraft Gallery,5.0,4,Art Galleries
Chobhar Caves,2.5,3,Caverns & Caves
Kashthamandap,4.0,112,Religious Sites
Macchhermo,4.5,15,Hiking Trails
Khadga Devi temple,3.0,10,Religious Sites
Namkha Khyung Dzong Rigdin Choling Monastery,5.0,10,Religious Sites
Kali Temple,3.5,34,Lookouts • Religious Sites
Panch Pokhari,4.5,3,Bodies of Water
Root Art Gallery,5.0,2,Art Galleries
Minnath temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Mount Manaslu,4.5,9,Mountains
Casino Mahjong,3.5,12,Casinos
"The Tribhuvan, Mahendra, and Birendra Museums",3.5,24,Speciality Museums
Vatsala Durga Temple,4.5,63,Points of Interest & Landmarks
Chhairo Gompa,4.5,2,Historic Sites • Points of Interest & Landmarks
Hidden Valley (Khumjung Green Valley),4.5,4,Valleys
Kashmiri Mosque,5.0,1,Religious Sites
Divine Yoga Studio,5.0,4,Sports Camps & Clinics
Aviation Museum,3.5,3,Speciality Museums • Children's Museums
Woodcraft Gallery,5.0,3,Art Galleries
Manimandap Pati,2.5,4,Historic Sites • Religious Sites
Martyr Memorial Park,4.0,1,Points of Interest & Landmarks • Parks
Millionaire's Club and Casino,4.0,6,Casinos
Nepal Art Council Gallery,5.0,3,Art Galleries
Gaddhi Baithak,3.0,13,Points of Interest & Landmarks • Architectural Buildings
Kalinchowk Bhagwati Shrine,5.0,1,Religious Sites
Siddha Pokhari,4.0,61,Bodies of Water • Points of Interest & Landmarks
Casino Rad,3.0,10,Casinos
Pujari Math,4.5,65,Architectural Buildings
The Thrangu Monastery,4.5,10,Religious Sites
Fikkal Bazar,3.5,6,Points of Interest & Landmarks • Scenic Drives
Bhairavnath Temple,4.0,73,Religious Sites
Sundarijal Water Falls,5.0,7,Waterfalls
Sindhuli Gadhi,4.0,2,Historic Sites • Points of Interest & Landmarks
Shiva Mandir Temple,3.5,11,Architectural Buildings • Religious Sites
Bagwati Mandir Temple,4.5,6,Points of Interest & Landmarks • Religious Sites
Ghanta Ghar Clock Tower,3.5,11,Points of Interest & Landmarks
Jamchen Lhakhang Monastery,3.5,3,Religious Sites
Big Bell,3.5,9,Points of Interest & Landmarks
Mother Temple of the Graduated Path to Enlightenment,4.5,12,Religious Sites
Rupse Falls,5.0,2,Waterfalls
Mrigasthali Deer Park,4.0,5,Nature & Wildlife Areas • Parks
Universal Crafts,5.0,3,Art Galleries • Antique Shops
Kathmandu Fun Valley,4.0,26,Water Parks
Mero Chitra Wears,5.0,3,Factory Outlets
Janakpur Dham Rail Station,3.0,22,Points of Interest & Landmarks
Thorong La Pass,4.5,6,Historic Sites • Points of Interest & Landmarks
Casino Everest,3.5,9,Casinos
Maju Dega Mandir Temple,3.0,11,Architectural Buildings • Religious Sites
Gauri Gaht,4.0,7,Points of Interest & Landmarks • Architectural Buildings
Annapurna Circuit,5.0,4,Hiking Trails
Khumjung Gompa,4.0,8,Religious Sites
Kala Patthar,5.0,2,Mountains • Geologic Formations
Monasterio Tibetano Boudhanat,4.0,3,Religious Sites
Kalikasthan Temple,4.0,1,Religious Sites
Kirateshwar Mahadev,4.0,1,Religious Sites
Khawalung Monastery,4.5,6,Religious Sites
Vishnu Mandir Temple,4.0,6,Points of Interest & Landmarks • Architectural Buildings
Dolma Treks,5.0,3,Historic Sites • Historic Walking Areas
Chyasin Dega Temple,3.5,5,Religious Sites
Bhadrakali Temple,5.0,8,Religious Sites
The City Museum Kathmandu,4.0,6,Speciality Museums
Chua Viet Nam Tai Lumbini,3.5,3,Points of Interest & Landmarks • Religious Sites
Bachhareshwari　Mandir Temple,5.0,4,Points of Interest & Landmarks • Architectural Buildings
Blue Moon Curio Shop,5.0,1,Antique Shops
Gokyo Ri,5.0,2,Geologic Formations
Chabdi Barahi Temple,3.5,3,Points of Interest & Landmarks
Drigung Kagyud Dharmaraja Foundation,4.0,2,Points of Interest & Landmarks • Religious Sites
Chinese Temple,4.5,3,Points of Interest & Landmarks • Religious Sites
Gorakhnath Mandir Temple,3.5,3,Points of Interest & Landmarks • Architectural Buildings
Ugrachandi and Bhairav Statues,4.5,33,Monuments & Statues
Singha Sattal (Silyan Sattal),3.5,7,Points of Interest & Landmarks • Architectural Buildings
Indoor Sports Arena,5.0,2,Sports Complexes
Mahendreswor Mandir Temple,3.5,9,Architectural Buildings • Religious Sites
Sara Enterprises,5.0,1,Art Galleries
Pharping HydroPower Dam,3.0,1,Dams
Manaslu,5.0,5,Mountains • Ski & Snowboard Areas
Ashok Stupa,3.5,2,Historic Sites • Monuments & Statues
Dirghaman & Ganeshman Chitrakar Art Foundation,4.0,1,Art Galleries
Nyatapola,4.5,22,Religious Sites
Nepal Vajrayana Mahavihara,3.5,3,Points of Interest & Landmarks • Religious Sites
Stone Vishnu Mandir Temple,3.0,6,Points of Interest & Landmarks • Architectural Buildings
Maha Vishnu Mandir Temple,3.5,4,Architectural Buildings • Religious Sites
Bansha Gopal Krishna Temple,4.5,2,Religious Sites
Rizvi Brothers Paper Mache Gift Shop,5.0,1,Art Galleries
Itum bahal,4.0,1,Points of Interest & Landmarks • Religious Sites
Pandra Shivalaya,3.5,3,Points of Interest & Landmarks • Architectural Buildings
Woodcraft Gallery,5.0,1,Art Galleries
Kapilvastu,4.5,6,Ancient Ruins • Historic Walking Areas
Buddha Nepal Art Gallery,5.0,1,Art Galleries
Aviation Museum,5.0,1,Speciality Museums
Handy-Mandy Craft House,5.0,1,Points of Interest & Landmarks
Sri Lanka Temple,3.5,2,Points of Interest & Landmarks • Religious Sites
Karmaraja Mahavihara,3.5,5,Religious Sites
Shree Tanadevi Temple,4.0,3,Religious Sites
Bhimsen Sthan Temple,4.0,1,Religious Sites
Chandragiri Hill,5.0,1,Points of Interest & Landmarks • Lookouts
Tri Chandra Collage,4.0,1,Architectural Buildings
Lokta Paper Craft,1.0,1,Points of Interest & Landmarks
Kotilingeshwor Mahadev Mandir Temple,3.5,3,Architectural Buildings • Religious Sites
Dharmadhaatu Stupa,3.5,2,Religious Sites
Lucky Traders & Exporter,4.0,1,Shopping Malls
Manjushree Temple,2.5,2,Religious Sites
Shree Bhawani Shankar Temple,3.0,1,Religious Sites
Direction Exhibition & Convention Center,4.0,2,Convention Centers
Shree Amar Narayan Temple,4.5,3,Religious Sites
Doleshwor Mahadeva Temple,5.0,13,Religious Sites
National Art Gallery,4.0,57,Art Museums
Kagyu Institute of Buddhist Studies,5.0,1,Religious Sites
Laprak,4.5,4,Mountains • National Parks
The Charumati Vihara Stupa,4.0,1,Historic Sites • Religious Sites
Traditional Thangka Paintings Gallery & Workshop,4.5,18,Points of Interest & Landmarks
Brass and Bronze Museum,4.0,1,Art Museums • History Museums
Buddha Park,3.0,1,Parks
Little Buddha Statue,3.0,2,Points of Interest & Landmarks • Monuments & Statues
Krishna Temple,3.0,1,Religious Sites
Indian Monastery,3.5,2,Points of Interest & Landmarks • Religious Sites
Bisnumati River,3.0,1,Bodies of Water
Bijeshwari Temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Shobabaghwati,3.0,1,Points of Interest & Landmarks • Religious Sites
Drugon Jangchu Monastery,3.0,1,Religious Sites
Dhansa Dega,3.0,1,Points of Interest & Landmarks • Religious Sites
Department of Immigration,1.0,3,Government Buildings
Mahadev Mandir Temple,3.0,1,Architectural Buildings • Religious Sites
Ram Chandra Temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Espace de visite,4.0,1,Points of Interest & Landmarks
Gorkha Museum,4.0,6,Historic Sites • Points of Interest & Landmarks
Dharmodaya Mahachaitya,3.5,2,Points of Interest & Landmarks • Religious Sites
Dhagpo Sheydrub Ling Monastery,4.5,8,Points of Interest & Landmarks • Religious Sites
Gautami Nuns Temple,3.0,2,Points of Interest & Landmarks • Religious Sites
Til Mahadev Narayan Mandir,4.0,11,Religious Sites
Manang Samaj Stupa,4.0,2,Points of Interest & Landmarks • Religious Sites
Bhupatindra Malla Statue,4.0,21,Monuments & Statues
Tamur River,4.0,3,Bodies of Water
Manhal Healing,N,0,Sports Camps & Clinics
Panauti Museum,3.5,5,History Museums
Nepalganj,2.5,6,Points of Interest & Landmarks
Kailashnath Mahadev Statue,4.0,3,Religious Sites • Monuments & Statues
Thorangla Pass,3.5,3,Mountains
Siddhi Lakshmi Temple,4.5,3,Religious Sites
Bigu Gompa,4.0,1,Religious Sites
Oldest Royal Palace Gurkha,5.0,1,Historic Sites • Ancient Ruins
Living Traditions Museum,3.5,10,Speciality Museums
Indrayani Temple,4.0,2,Points of Interest & Landmarks • Religious Sites
Palpa Durbar Museum,3.0,1,History Museums
Uma Maheshwor Temple,4.0,1,Points of Interest & Landmarks • Religious Sites
Tempio Degli Elefanti Erotici,3.5,2,Points of Interest & Landmarks • Religious Sites
Naga Pokhari,4.0,1,Points of Interest & Landmarks • Religious Sites
Chyasilin Mandap,4.0,1,Points of Interest & Landmarks • Religious Sites
Tempio di Fasidega,4.0,1,Points of Interest & Landmarks • Religious Sites
Piazza Tachupal,4.0,1,Points of Interest & Landmarks
Jal Binayak Temple,3.5,2,Religious Sites
Tansen View Tower,2.5,2,Points of Interest & Landmarks • Lookouts
Bhimsen Temple,3.0,1,Religious Sites
Gopi Nath Temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Nepal Hiking Team,5.0,841,City Tours • Cultural Tours
Nepal Eco Adventure,5.0,1304,Multi-day Tours • Historical & Heritage Tours
Ace the Himalaya,5.0,1366,Multi-day Tours • Cultural Tours
Adventure-Pulse,5.0,232,Multi-day Tours • Eco Tours
Open Sky Paragliding,5.0,423,Parasailing & Paragliding
Happy Treks Nepal - Day Tours,5.0,767,Walking Tours • Hiking & Camping Tours
Mountain Mart Treks & Expedition,5.0,765,Multi-day Tours • Historical & Heritage Tours
Ethical Trekking Nepal,5.0,544,Multi-day Tours • Sightseeing Tours
Himalaya Holiday Service,5.0,294,Cultural Tours • Helicopter Tours
Saara Tourism Nepal-Travel Advisor in Nepal,5.0,210,Parasailing & Paragliding • Multi-day Tours
Eastern Light Trek,5.0,677,City Tours • Cultural Tours
Lovely Nepal Treks and Expedition - Day Tours,5.0,188,Hiking & Camping Tours
Mountain Delights Treks & Expedition,5.0,187,Historical & Heritage Tours • Sightseeing Tours
Nepal Horizon Treks & Expedition,5.0,149,Multi-day Tours • Hiking & Camping Tours
Dreams Spa,5.0,105,Yoga & Pilates • Spas
2Sisters Nepal Cooking School,5.0,137,Cooking Classes
The Great Adventure Treks & Expedition - Private Day Tours,5.0,369,Hiking & Camping Tours • Private Tours
Himalayan Quests - Day Tours,5.0,134,Sightseeing Tours
Incredible Treks,5.0,254,River Rafting & Tubing • Cultural Tours
Magical Nepal,5.0,155,Multi-day Tours • Cultural Tours
Visit Himalaya Treks,5.0,146,Hiking & Camping Tours • Nature & Wildlife Tours
Thai Nepal Travels and Tours,5.0,134,City Tours • Multi-day Tours
Himalayan Friends Trekking - Day Tours,5.0,134,Hiking & Camping Tours • Nature & Wildlife Tours
Mountain Holiday Treks & Expedition,5.0,97,Multi-day Tours • Hiking & Camping Tours
Third Rock Adventures,5.0,226,City Tours • Cultural Tours
Peace Himalaya Treks and Travels Pvt Ltd,5.0,95,City Tours • Adrenaline & Extreme Tours
Himalayan Car Rental Nepal,5.0,156,Bus Services • Taxis & Shuttles
Nepal Ayurveda Home,5.0,101,Yoga & Pilates • Spas
Dream Heaven Adventure,5.0,123,Cultural Tours • Historical & Heritage Tours
Exciting Nepal Treks and Expedition,5.0,366,Multi-day Tours • Helicopter Tours
A1 Excursion - Private Day Tours,5.0,132,Private Tours
Mosaic Adventure,5.0,588,Multi-day Tours • Walking Tours
Himalayan Sky Adventure Paragliding,5.0,158,Parasailing & Paragliding • Adrenaline & Extreme Tours
Tramping Himalaya,5.0,103,Climbing Tours • Hiking & Camping Tours
Destination Unlimited Treks & Expeditions,5.0,247,City Tours • Multi-day Tours
Pariwar Holidays,5.0,620,Multi-day Tours • Historical & Heritage Tours
Vista Trek,5.0,190,Cultural Tours • Helicopter Tours
Couch Adventure Nepal (CAN),5.0,255,City Tours • Hiking & Camping Tours
Odea Services,5.0,179,Helicopter Tours • Historical & Heritage Tours
Ambition Himalaya Treks & Expeditions,5.0,252,Multi-day Tours • Cultural Tours
Osho Vision Treks and Expedition,5.0,212,City Tours • Multi-day Tours
Landmark Discovery Treks –  Day Tours,5.0,189,Cultural Tours • Historical & Heritage Tours
